"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00094789","1970-01-01","0.00",,"28","22"
"USW00094789","1970-01-02","0.00",,"31","22"
"USW00094789","1970-01-03","0.02",,"38","25"
"USW00094789","1970-01-04","0.00",,"31","23"
"USW00094789","1970-01-05","0.00",,"35","21"
"USW00094789","1970-01-06","0.04",,"36","28"
"USW00094789","1970-01-07","0.12",,"28","22"
"USW00094789","1970-01-08","0.01",,"23","8"
"USW00094789","1970-01-09","0.00",,"15","6"
"USW00094789","1970-01-10","0.00",,"32","10"
"USW00094789","1970-01-11","0.00",,"29","21"
"USW00094789","1970-01-12","0.13",,"31","24"
"USW00094789","1970-01-13","0.00",,"34","25"
"USW00094789","1970-01-14","0.00",,"26","16"
"USW00094789","1970-01-15","0.00",,"29","13"
"USW00094789","1970-01-16","0.00",,"36","21"
"USW00094789","1970-01-17","0.02",,"43","30"
"USW00094789","1970-01-18","0.10",,"42","25"
"USW00094789","1970-01-19","0.00",,"25","16"
"USW00094789","1970-01-20","0.04",,"24","15"
"USW00094789","1970-01-21","0.06",,"24","9"
"USW00094789","1970-01-22","0.00",,"21","8"
"USW00094789","1970-01-23","0.00",,"29","13"
"USW00094789","1970-01-24","0.00",,"28","18"
"USW00094789","1970-01-25","0.00",,"36","24"
"USW00094789","1970-01-26","0.02",,"48","34"
"USW00094789","1970-01-27","0.00",,"36","28"
"USW00094789","1970-01-28","0.00",,"40","31"
"USW00094789","1970-01-29","0.00",,"49","40"
"USW00094789","1970-01-30","0.00",,"47","24"
"USW00094789","1970-01-31","0.00",,"36","22"
"USW00094789","1970-02-01","0.00",,"48","34"
"USW00094789","1970-02-02","0.11",,"49","36"
"USW00094789","1970-02-03","1.12",,"50","24"
"USW00094789","1970-02-04","0.14",,"24","13"
"USW00094789","1970-02-05","0.00",,"36","14"
"USW00094789","1970-02-06","0.00",,"37","32"
"USW00094789","1970-02-07","0.00",,"42","30"
"USW00094789","1970-02-08","0.00",,"39","29"
"USW00094789","1970-02-09","0.00",,"41","33"
"USW00094789","1970-02-10","1.51",,"46","37"
"USW00094789","1970-02-11","0.00",,"45","36"
"USW00094789","1970-02-12","0.00",,"37","30"
"USW00094789","1970-02-13","0.00",,"32","22"
"USW00094789","1970-02-14","0.11",,"24","17"
"USW00094789","1970-02-15","0.34",,"35","24"
"USW00094789","1970-02-16","0.00",,"35","29"
"USW00094789","1970-02-17","0.00",,"39","27"
